n_doi,scp_item_type,wos_item_type,first_pubyear,pubyear,scp_year
378354,NA,NA,NA,NA,NA
32740,{Letter},{Letter},2020,2020,2020
31750,{Letter},{Letter},2021,2021,2021
27528,NA,"{""Meeting Abstract""}",NA,NA,2019
25725,{Letter},{Letter},2022,2022,2022
24841,{Editorial},"{""Editorial Material""}",2020,2020,2020
23074,{Editorial},"{""Editorial Material""}",2021,2021,2021
22702,{Letter},{Letter},2019,2019,2019
21806,{Editorial},"{""Editorial Material""}",2019,2019,2019
21677,{Note},"{""Editorial Material""}",2020,2020,2020
21312,{Editorial},"{""Editorial Material""}",2022,2022,2022
20429,{Note},NA,2023,2023,NA
20007,{Note},"{""Editorial Material""}",2022,2022,2022
19224,{Note},"{""Editorial Material""}",2021,2021,2021
18442,NA,"{""Book Review""}",NA,NA,2020
18052,NA,"{""Book Review""}",NA,NA,2021
17549,{Editorial},NA,2023,2023,NA
17333,NA,"{""Book Review""}",NA,NA,2019
16681,{Letter},NA,2023,2023,NA
16276,{Note},"{""Editorial Material""}",2019,2019,2019
16274,NA,"{""Book Review""}",NA,NA,2022
13575,{Article},NA,2024,2024,NA
9677,{Erratum},{Correction},2021,2021,2021
9601,{Erratum},{Correction},2022,2022,2022
8492,{Erratum},{Correction},2020,2020,2020
7615,{Erratum},NA,2023,2023,NA
6779,NA,"{""Meeting Abstract""}",NA,NA,2021
6586,{Erratum},{Correction},2019,2019,2019
6151,NA,"{""Meeting Abstract""}",NA,NA,2022
5956,NA,"{""Meeting Abstract""}",NA,NA,2020
5283,{Letter},{Letter},2023,2023,2023
4806,{Editorial},"{""Editorial Material""}",2023,2023,2023
4494,{Note},"{""Editorial Material""}",2023,2023,2023
4186,{Note},NA,2022,2022,NA
4176,{Note},NA,2020,2020,NA
3809,{Note},NA,2021,2021,NA
3461,{Note},NA,2019,2019,NA
2763,NA,"{""Book Review""}",NA,NA,2023
2698,NA,"{""Editorial Material""}",NA,NA,2022
2503,"{""Short Survey""}","{""Editorial Material""}",2019,2019,2019
2427,{Letter},NA,2022,2022,NA
2394,{Letter},NA,2021,2021,NA
2366,NA,"{""Book Review"",""Early Access""}",NA,NA,2022
2131,NA,"{""Editorial Material""}",NA,NA,2021
2054,{Erratum},{Correction},2023,2023,2023
2054,{Letter},NA,2020,2020,NA
2053,{Letter},"{Letter,""Early Access""}",2023,2023,2023
2010,{Note},"{""Editorial Material"",""Early Access""}",2023,2023,2023
1980,NA,"{""Editorial Material""}",NA,NA,2019
1939,NA,"{""Book Review"",""Early Access""}",NA,NA,2023
1901,{Letter},NA,2023,2024,NA
1865,{Editorial},NA,2022,2022,NA
1704,NA,"{""Editorial Material""}",NA,NA,2020
1658,"{""Short Survey""}","{""Editorial Material""}",2020,2020,2020
1556,{Review},NA,2024,2024,NA
1507,"{""Short Survey""}","{""Editorial Material""}",2021,2021,2021
1495,{Letter},"{""Editorial Material""}",2020,2020,2020
1487,{Editorial},NA,2021,2021,NA
1461,NA,{Biographical-Item},NA,NA,2020
1412,NA,{Biographical-Item},NA,NA,2021
1389,{Letter},"{Letter,""Early Access""}",2023,2023,2022
1369,{Letter},"{""Editorial Material""}",2022,2022,2022
1354,{Editorial},NA,2020,2020,NA
1335,{Letter},NA,2024,2024,NA
1301,NA,{Biographical-Item},NA,NA,2022
1265,{Letter},"{""Editorial Material""}",2021,2021,2021
1250,NA,{Biographical-Item},NA,NA,2019
1232,"{""Short Survey""}","{""Editorial Material""}",2022,2022,2022
1138,{Note},"{""News Item""}",2022,2022,2022
1131,{Note},"{""News Item""}",2019,2019,2019
1130,{Erratum},"{Correction,""Early Access""}",2023,2023,2023
1075,{Editorial},"{""Editorial Material"",""Early Access""}",2023,2023,2023
1066,{Note},{Letter},2021,2021,2021
1012,"{""Short Survey""}",NA,2023,2023,NA
992,{Note},NA,2023,2024,NA
967,{Erratum},{Retraction},2022,2022,2022
967,{Note},"{""News Item""}",2020,2020,2020
959,{Editorial},NA,2019,2019,NA
952,{Note},"{""Editorial Material"",""Early Access""}",2023,2023,2022
932,{Note},"{""News Item""}",2021,2021,2021
929,NA,"{""News Item""}",NA,NA,2019
924,{Editorial},NA,2024,2024,NA
894,{Note},{Letter},2022,2022,2022
885,{Note},{Letter},2020,2020,2020
878,{Note},NA,2024,2024,NA
795,{Erratum},{Retraction},2021,2021,2021
772,{Letter},"{""Editorial Material""}",2019,2019,2019
730,{Erratum},"{Correction,""Early Access""}",2023,2023,2022
686,{Erratum},{Retraction},2020,2020,2020
683,{Erratum},NA,2023,2024,NA
678,{Erratum},NA,2024,2024,NA
625,{Editorial},NA,2023,2024,NA
617,{Note},{Letter},2019,2019,2019
568,{Erratum},NA,2019,2019,NA
561,{Erratum},NA,2021,2021,NA
537,NA,"{""News Item""}",NA,NA,2022
529,{Erratum},NA,2020,2020,NA
527,NA,"{""Book Review"",""Early Access""}",NA,NA,2021
512,NA,"{""News Item""}",NA,NA,2020
506,{Erratum},NA,2022,2022,NA
483,{Letter},NA,2019,2019,NA
466,{Erratum},{Retraction},2019,2019,2019
459,{Editorial},"{""Editorial Material"",""Early Access""}",2023,2023,2022
423,{Note},"{""Editorial Material"",""Early Access""}",2022,2022,2022
420,"{""Conference Paper""}","{""Editorial Material""}",2019,2019,2019
402,{Erratum},{Retraction},2023,2023,2023
399,NA,"{""News Item""}",NA,NA,2021
396,NA,"{""Editorial Material""}",NA,NA,2023
375,{Erratum},"{Correction,""Early Access""}",2022,2022,2022
359,{Tombstone},NA,2021,2021,NA
359,NA,"{""Book Review"",""Early Access""}",NA,NA,2020
343,NA,"{""Editorial Material"",""Early Access""}",NA,NA,2022
333,"{""Conference Paper""}","{""Editorial Material""}",2020,2020,2020
326,"{""Short Survey""}",NA,2019,2019,NA
304,"{""Conference Paper""}","{""Editorial Material""}",2021,2021,2021
300,{Letter},"{""Editorial Material""}",2023,2023,2023
299,"{""Conference Paper""}",NA,2023,2023,NA
297,"{""Short Survey""}",NA,2020,2020,NA
280,{Editorial},"{""Editorial Material"",""Early Access""}",2022,2022,2022
269,NA,{Biographical-Item},NA,NA,2023
262,{Article},NA,2024,2023,NA
260,"{""Short Survey""}","{""Editorial Material""}",2023,2023,2023
256,{Article},NA,2023,2023,NA
254,{Article},{Article},2018,2018,2018
249,{Review},{Review},2018,2018,2018
239,NA,{Letter},NA,NA,2019
226,"{""Conference Paper""}","{""Editorial Material""}",2022,2022,2022
225,NA,"{""Editorial Material"",""Early Access""}",NA,NA,2023
219,"{""Short Survey""}",NA,2021,2021,NA
218,NA,{Letter},NA,NA,2022
205,{Note},"{""News Item""}",2023,2023,2023
205,NA,{Letter},NA,NA,2021
203,NA,{Letter},NA,NA,2020
194,{Article},NA,2022,2022,NA
193,{Letter},"{Letter,""Early Access""}",2022,2022,2022
189,NA,{Correction},NA,NA,2021
181,"{""Conference Paper""}",NA,2024,2024,NA
178,{Note},{Letter},2023,2023,2023
165,NA,{Correction},NA,NA,2022
164,NA,"{""Editorial Material"",""Early Access""}",NA,NA,2021
162,NA,{Article},NA,NA,2022
160,{Letter},"{Letter,""Early Access""}",2023,2023,2021
159,{Article},NA,2020,2020,NA
159,{Article},NA,2021,2021,NA
159,NA,{Correction},NA,NA,2020
145,NA,{Correction},NA,NA,2019
144,{Note},"{""Editorial Material"",""Early Access""}",2021,2021,2021
143,{Erratum},"{Correction,""Early Access""}",2021,2021,2021
142,{Editorial},{Biographical-Item},2022,2022,2022
140,{Letter},{Letter},2021,2021,2020
139,{Editorial},{Biographical-Item},2019,2019,2019
131,NA,"{""Book Review"",""Early Access""}",NA,NA,2019
123,"{""Conference Paper""}",NA,2020,2020,NA
121,"{""Conference Paper""}",NA,2021,2021,NA
