ror,vendor_org_id,n,row_number
https://ror.org/000063q30,Institut National Polytechnique de Grenoble,10,1
https://ror.org/0000n5x09,Universite de Montpellier,130,1
https://ror.org/0001fmy77,University of Macerata,28,1
https://ror.org/0001h1y25,UK Research & Innovation (UKRI),3,1
https://ror.org/0002cnv45,Universite de Lille,44,1
https://ror.org/0003e4m70,University of Hull,401,1
https://ror.org/0003zy991,University of Sheffield,1,1
https://ror.org/0004r6b85,Ulm University,5,1
https://ror.org/0005r2j17,Universite de Montpellier,9,1
https://ror.org/0005w8d69,University of Camerino,527,1
https://ror.org/00067tc54,University of New South Wales Sydney,8,1
https://ror.org/000849h34,Liverpool Heart & Chest Hospital,375,1
https://ror.org/0008xqs48,Institut d'Investigacio Biomedica de Bellvitge (IDIBELL),703,1
https://ror.org/0009t4v78,Anglia Ruskin University,613,1
https://ror.org/000axn811,Audencia,111,1
https://ror.org/000bjk220,Lund University,1,1
https://ror.org/000bxzc63,Max Planck Society,121,1
https://ror.org/000d5zy28,Centre National de la Recherche Scientifique (CNRS),112,1
https://ror.org/000e0be47,Northwestern University,2467,1
https://ror.org/000e3j968,Turkey Specialized Higher Education & Research Hospital,8,1
https://ror.org/000ehr937,Sorbonne Universite,117,1
https://ror.org/000h6jb29,Helmholtz Association,1352,1
https://ror.org/000hdh770,Dalarna University,302,1
https://ror.org/000k1q888,University of Amsterdam,2,1
https://ror.org/000ke5995,Western Galilee Hospital,80,1
https://ror.org/000ncdv93,Swedish University of Agricultural Sciences,1,1
https://ror.org/000nes056,Lulea University of Technology,3,1
https://ror.org/000nhpy59,Consejo Superior de Investigaciones Cientificas (CSIC),79,1
https://ror.org/000nhq538,Universite Paris Cite,123,1
https://ror.org/000p4dw82,Universidad del Valle,8,1
https://ror.org/000ph9k36,University of Wurzburg,84,1
https://ror.org/000pvc513,Universite Cote d'Azur,134,1
https://ror.org/000rdbk18,Goethe University Frankfurt,4,1
https://ror.org/000rr7w48,Hungarian University of Agriculture & Life Sciences,7,1
https://ror.org/000sfad56,University of Silesia in Katowice,175,1
https://ror.org/000t0f062,Education University of Hong Kong (EdUHK),380,1
https://ror.org/000xsnr85,University of Basque Country,4849,1
https://ror.org/000z46s85,CHU Lille,56,1
https://ror.org/0010cp777,University of Mannheim,2,1
https://ror.org/00136g547,Universite de Reims Champagne-Ardenne,28,1
https://ror.org/0013zhk30,Consiglio Nazionale delle Ricerche (CNR),94,1
https://ror.org/001575385,University of Cape Town,7,1
https://ror.org/0015h8611,Centre National de la Recherche Scientifique (CNRS),197,1
https://ror.org/0015ws592,Institut National de la Sante et de la Recherche Medicale (Inserm),111,1
https://ror.org/001695n52,Universite de Bordeaux,47,1
https://ror.org/0018c4h73,Universite de Lille,59,1
https://ror.org/0019x5d05,Universite Claude Bernard Lyon 1,5,1
https://ror.org/001aqnf71,UK Research & Innovation (UKRI),19,1
https://ror.org/001c2sn75,University of London,171,1
https://ror.org/001c8pb03,Sorbonne Universite,29,1
https://ror.org/001f7a930,A.O.U. Citta della Salute e della Scienza di Torino,326,1
https://ror.org/001gpfp45,California Polytechnic State University San Luis Obispo,28,1
https://ror.org/001kjn539,St Vincent's Hospital Melbourne,1011,1
https://ror.org/001mm6w73,University of London,181,1
https://ror.org/001n36p86,Norwegian Meteorological Institute,37,1
https://ror.org/001n7ee52,Universite de Poitiers,175,1
https://ror.org/001nta019,Universites de Strasbourg Etablissements Associes,12,1
https://ror.org/001pe5g24,University of North Georgia,2,1
https://ror.org/001r32c80,CNRS - National Institute for Biology (INSB),3,1
https://ror.org/001rdaz60,Technical University of Munich,1,1
https://ror.org/001rdde17,Universidade Federal do Rio Grande do Sul,1,1
https://ror.org/001tbyf75,"University of Natural Resources & Life Sciences, Vienna",1,1
https://ror.org/001vjqx13,Free University of Berlin,16,1
https://ror.org/001w7jn25,Humboldt University of Berlin,6299,1
https://ror.org/001xkv632,Southern Cross University,1058,1
https://ror.org/001yc7927,Hyogo College of Medicine,105,1
https://ror.org/001yqrb02,Johann Heinrich von Thunen Institute,23,1
https://ror.org/001zf8v27,University of Vienna,1,1
https://ror.org/0020hse07,University of Aberdeen,13,1
https://ror.org/0020snb74,University of Quebec,656,1
https://ror.org/00222yk13,Universite de Pau et des Pays de l'Adour,132,1
https://ror.org/0022b3c04,Nottingham University Hospital NHS Trust,184,1
https://ror.org/00240q980,University of Padua,9518,1
https://ror.org/0025g8755,University of Milan,336,1
https://ror.org/0025r1k74,Universidade Nova de Lisboa,1,1
https://ror.org/0028p8r67,Centre National de la Recherche Scientifique (CNRS),54,1
https://ror.org/002cp4060,Aix-Marseille Universite,284,1
https://ror.org/002egtp29,Umea University,16,1
https://ror.org/002fxfq97,Centre National de la Recherche Scientifique (CNRS),3,1
https://ror.org/002g3cb31,Queen Margaret University,184,1
https://ror.org/002h8g185,University of Bath,4186,1
https://ror.org/002nf6q61,Aarhus University,16,1
https://ror.org/002nf6z37,Columbus State University,4,1
https://ror.org/002qv2715,Swedish University of Agricultural Sciences,1,1
https://ror.org/002rjbv21,University of Quebec,1568,1
https://ror.org/002smyt64,Consejo Superior de Investigaciones Cientificas (CSIC),315,1
https://ror.org/002t25c44,Centre National de la Recherche Scientifique (CNRS),61,1
https://ror.org/002ty1h48,CEA,11,1
https://ror.org/002tzev63,IMDEA Energy,110,1
https://ror.org/002v3cy83,Universite Paris Cite,18,1
https://ror.org/002w0jp71,Austrian Academy of Sciences,24,1
https://ror.org/002yg6s88,Universite Paris Cite,24,1
https://ror.org/002zc3t08,Sorbonne Universite,88,1
https://ror.org/002zef647,Consejo Superior de Investigaciones Cientificas (CSIC),47,1
https://ror.org/0030f2a11,University of Erlangen Nuremberg,1137,1
https://ror.org/0030zas98,Hong Kong Polytechnic University,862,1
https://ror.org/003109y17,University of Cagliari,2059,1
https://ror.org/0031wrj91,European University Institute,410,1
https://ror.org/00340yn33,Keele University,1441,1
https://ror.org/003412r28,Universite de Toulouse,84,1
https://ror.org/00357kh21,Institut de Recherche pour le Developpement (IRD),73,1
https://ror.org/00363z010,University of Copenhagen,203,1
https://ror.org/0038jbq24,Bath Spa University,75,1
