issn_l,cr_year,jn_all
0001-0782,2019,280
0001-0782,2020,293
0001-0782,2021,318
0001-0782,2022,295
0001-0782,2023,281
0001-1541,2019,360
0001-1541,2020,323
0001-1541,2021,402
0001-1541,2022,437
0001-1541,2023,322
0001-2092,2019,305
0001-2092,2020,329
0001-2092,2021,267
0001-2092,2022,248
0001-2092,2023,210
0001-2785,2019,207
0001-2785,2020,187
0001-2785,2021,176
0001-2785,2022,148
0001-2785,2023,157
0001-2998,2019,60
0001-2998,2020,59
0001-2998,2021,60
0001-2998,2022,76
0001-2998,2023,69
0001-3072,2019,32
0001-3072,2020,25
0001-3072,2021,33
0001-3072,2022,25
0001-3072,2023,29
0001-3455,2019,24
0001-3455,2020,27
0001-3455,2021,21
0001-3455,2022,24
0001-3455,2023,24
0001-4338,2019,176
0001-4338,2020,157
0001-4338,2021,165
0001-4338,2022,152
0001-4338,2023,143
0001-4346,2019,210
0001-4346,2020,220
0001-4346,2021,217
0001-4346,2022,220
0001-4346,2023,241
0001-4370,2019,122
0001-4370,2020,96
0001-4370,2021,110
0001-4370,2022,104
0001-4370,2023,94
0001-4575,2019,372
0001-4575,2020,385
0001-4575,2021,468
0001-4575,2022,244
0001-4575,2023,305
0001-4788,2019,28
0001-4788,2020,49
0001-4788,2021,43
0001-4788,2022,39
0001-4788,2023,33
0001-4842,2019,351
0001-4842,2020,301
0001-4842,2021,414
0001-4842,2022,347
0001-4842,2023,374
0001-4966,2019,3130
0001-4966,2020,1969
0001-4966,2021,2338
0001-4966,2022,2454
0001-4966,2023,3030
0001-5172,2019,213
0001-5172,2020,216
0001-5172,2021,184
0001-5172,2022,150
0001-5172,2023,177
0001-5210,2019,17
0001-5210,2020,22
0001-5210,2021,23
0001-5210,2022,15
0001-5210,2023,23
0001-5342,2019,32
0001-5342,2020,29
0001-5342,2021,31
0001-5342,2022,23
0001-5342,2023,21
0001-5385,2019,86
0001-5385,2020,75
0001-5385,2021,74
0001-5385,2022,63
0001-5385,2023,84
0001-5458,2019,103
0001-5458,2020,72
0001-5458,2021,68
0001-5458,2022,54
0001-5458,2023,21
0001-5547,2019,104
0001-5547,2020,76
0001-5547,2021,76
0001-5547,2022,75
0001-5547,2023,62
0001-5652,2019,30
0001-5652,2020,16
0001-5652,2021,7
0001-5652,2022,10
0001-5652,2023,10
0001-5792,2019,146
0001-5792,2020,119
0001-5792,2021,87
0001-5792,2022,78
0001-5792,2023,98
0001-5830,2019,12
0001-5830,2020,14
0001-5830,2022,9
0001-5830,2023,14
0001-5903,2019,29
0001-5903,2020,27
0001-5903,2021,24
0001-5903,2022,25
0001-5903,2023,14
0001-5954,2019,114
0001-5954,2020,92
0001-5954,2021,84
0001-5954,2022,98
0001-5954,2023,97
0001-5970,2019,244
0001-5970,2020,281
0001-5970,2021,228
0001-5970,2022,345
0001-5970,2023,360
0001-6268,2019,407
0001-6268,2020,471
0001-6268,2021,414
0001-6268,2022,380
0001-6268,2023,421
0001-6314,2019,128
0001-6314,2020,168
0001-6314,2021,172
0001-6314,2022,133
0001-6314,2023,46
0001-6322,2019,159
0001-6322,2020,134
0001-6322,2021,147
0001-6322,2022,134
0001-6322,2023,112
0001-6349,2019,261
0001-6349,2020,245
0001-6349,2021,239
0001-6349,2022,172
0001-6349,2023,251
0001-6357,2019,109
0001-6357,2020,91
0001-6357,2021,85
0001-6357,2022,80
0001-6357,2023,42
0001-6373,2019,40
0001-6373,2020,30
0001-6373,2021,32
0001-6373,2022,28
0001-6373,2023,31
0001-6446,2019,25
0001-6446,2020,39
0001-6446,2021,34
0001-6446,2022,39
0001-6446,2023,30
0001-6489,2019,227
0001-6489,2020,204
0001-6489,2021,158
0001-6489,2022,106
0001-6489,2023,170
0001-6519,2019,63
0001-6519,2020,73
0001-6519,2021,71
0001-6519,2022,65
0001-6519,2023,61
0001-6810,2019,16
0001-6810,2020,39
0001-6810,2021,41
0001-6810,2022,51
0001-6810,2023,38
0001-690X,2019,133
0001-690X,2020,108
0001-690X,2021,116
0001-690X,2022,121
0001-690X,2023,114
0001-6969,2019,41
0001-6969,2020,38
0001-6969,2021,35
0001-6969,2022,41
0001-6969,2023,48
0001-6993,2019,31
0001-6993,2020,43
0001-6993,2021,35
0001-6993,2022,42
0001-6993,2023,34
0001-706X,2019,366
0001-706X,2020,401
0001-706X,2021,342
0001-706X,2022,401
0001-706X,2023,291
0001-7701,2019,161
0001-7701,2020,114
0001-7701,2021,115
0001-7701,2022,169
0001-7701,2023,130
0001-7868,2019,137
0001-7868,2020,129
0001-7868,2021,135
0001-7868,2022,117
0001-7868,2023,107
0001-8244,2019,46
0001-8244,2020,43
0001-8244,2021,63
0001-8244,2022,36
0001-8244,2023,39
0001-8392,2019,36
0001-8392,2020,44
0001-8392,2021,37
0001-8392,2022,58
0001-8392,2023,49
0001-8678,2019,49
0001-8678,2020,50
0001-8678,2021,46
0001-8678,2022,67
0001-8678,2023,58
0001-8686,2019,104
0001-8686,2020,167
0001-8686,2021,152
0001-8686,2022,161
0001-8686,2023,149
0001-8708,2019,393
0001-8708,2020,389
0001-8708,2021,463
0001-8708,2022,506
0001-8708,2023,363
0001-8732,2019,4
0001-8732,2020,4
0001-8732,2021,7
0001-8732,2022,2
0001-8732,2023,1
0001-8791,2019,120
0001-8791,2020,96
0001-8791,2021,92
0001-8791,2022,84
0001-8791,2023,64
0001-9054,2019,74
0001-9054,2020,68
0001-9054,2021,93
0001-9054,2022,75
0001-9054,2023,90
0001-9240,2019,167
0001-9240,2020,143
0001-9240,2021,129
0001-9240,2022,101
0001-9240,2023,127
0001-9720,2019,95
0001-9720,2020,106
0001-9720,2021,97
0001-9720,2022,86
0001-9720,2023,85
0001-9909,2019,32
0001-9909,2020,29
0001-9909,2021,39
0001-9909,2022,42
0001-9909,2023,38
0002-0184,2019,16
0002-0184,2020,28
0002-0184,2021,28
0002-0184,2022,21
0002-0184,2023,19
0002-0206,2019,109
0002-0206,2020,128
0002-0206,2021,149
0002-0206,2022,180
0002-0206,2023,122
0002-0443,2019,126
0002-0443,2020,125
0002-0443,2021,127
0002-0443,2022,132
0002-0443,2023,127
0002-0729,2019,186
0002-0729,2020,287
0002-0729,2021,237
0002-0729,2022,321
0002-0729,2023,250
0002-1466,2019,57
0002-1466,2020,47
0002-1466,2021,54
0002-1466,2022,29
0002-1466,2023,26
0002-1873,2019,25
0002-1873,2020,15
0002-1873,2021,22
0002-1873,2022,22
0002-1873,2023,12
0002-1962,2019,343
0002-1962,2020,463
0002-1962,2021,451
0002-1962,2022,251
0002-1962,2023,284
0002-2667,2019,2
0002-3752,2019,621
0002-3752,2020,608
0002-3752,2021,640
0002-3752,2022,649
0002-3752,2023,618
0002-3973,2019,10
0002-3973,2020,32
0002-3973,2022,13
0002-3973,2023,15
0002-5232,2019,52
0002-5232,2020,50
0002-5232,2021,45
0002-5232,2022,51
0002-5232,2023,40
0002-5240,2019,59
0002-5240,2020,57
0002-5240,2021,67
0002-5240,2022,38
0002-5240,2023,35
0002-6980,2019,36
0002-6980,2020,36
0002-6980,2021,41
0002-6980,2022,45
0002-6980,2023,41
0002-7162,2019,69
0002-7162,2020,82
0002-7162,2021,87
0002-7162,2022,84
0002-7162,2023,72
0002-7189,2019,100
0002-7189,2020,86
0002-7189,2021,112
0002-7189,2022,101
0002-7189,2023,84
0002-7294,2019,182
0002-7294,2020,164
0002-7294,2021,147
0002-7294,2022,127
0002-7294,2023,132
0002-7316,2019,114
0002-7316,2020,109
0002-7316,2021,156
0002-7316,2022,113
0002-7316,2023,117
0002-7642,2019,122
0002-7642,2020,102
0002-7642,2021,152
0002-7642,2022,215
0002-7642,2023,110
0002-7766,2019,16
0002-7766,2020,20
0002-7766,2021,16
0002-7766,2022,16
0002-7766,2023,15
0002-7820,2019,667
0002-7820,2020,592
0002-7820,2021,677
0002-7820,2022,649
0002-7820,2023,682
0002-7863,2019,2713
0002-7863,2020,2614
0002-7863,2021,2546
0002-7863,2022,2728
0002-7863,2023,3128
0002-8312,2019,105
0002-8312,2020,30
0002-8312,2021,35
0002-8312,2022,26
0002-8312,2023,36
0002-8487,2019,75
0002-8487,2020,53
0002-8487,2021,65
0002-8487,2022,41
0002-8487,2023,59
0002-8614,2019,505
0002-8614,2020,626
0002-8614,2021,596
0002-8614,2022,565
0002-8614,2023,511
0002-8703,2019,220
0002-8703,2020,322
0002-8703,2021,298
0002-8703,2022,278
0002-8703,2023,232
0002-8762,2019,953
0002-8762,2020,1081
0002-8762,2021,617
0002-8762,2022,494
0002-8762,2023,495
0002-9092,2019,74
0002-9092,2020,139
0002-9092,2021,95
0002-9092,2022,78
0002-9092,2023,72
0002-9122,2019,178
0002-9122,2020,161
0002-9122,2021,191
0002-9122,2022,169
0002-9122,2023,152
0002-9149,2019,664
0002-9149,2020,669
0002-9149,2021,632
0002-9149,2022,652
0002-9149,2023,977
0002-9157,2019,30
0002-9157,2020,43
0002-9157,2021,43
0002-9157,2022,47
0002-9157,2023,35
0002-9165,2019,409
0002-9165,2020,397
0002-9165,2021,487
0002-9165,2022,455
0002-9165,2023,306
0002-9173,2019,189
0002-9173,2020,232
0002-9173,2021,258
0002-9173,2022,157
0002-9173,2023,207
0002-919X,2019,33
0002-919X,2020,35
0002-919X,2021,32
0002-919X,2022,37
0002-919X,2023,35
0002-9246,2019,42
0002-9246,2020,59
0002-9246,2021,64
0002-9246,2022,53
0002-9246,2023,54
0002-9262,2019,296
0002-9262,2020,304
0002-9262,2021,295
0002-9262,2022,232
0002-9262,2023,249
0002-9270,2019,486
0002-9270,2020,548
0002-9270,2021,436
0002-9270,2022,4292
0002-9270,2023,391
0002-9297,2019,242
0002-9297,2020,196
0002-9297,2021,211
0002-9297,2022,194
0002-9297,2023,186
