issn_l,cr_year,ta_articles,oa_articles
0001-0782,2021,11,0
0001-0782,2022,13,0
0001-0782,2023,33,0
0001-1541,2019,23,11
0001-1541,2020,27,20
0001-1541,2021,46,38
0001-1541,2022,65,45
0001-1541,2023,55,34
0001-2998,2020,4,2
0001-2998,2021,11,3
0001-2998,2022,16,11
0001-2998,2023,25,7
0001-3072,2020,3,3
0001-3072,2021,7,3
0001-3072,2022,6,4
0001-3072,2023,11,6
0001-4338,2021,1,1
0001-4346,2020,2,0
0001-4346,2021,2,0
0001-4346,2022,2,0
0001-4575,2019,2,0
0001-4575,2020,25,13
0001-4575,2021,49,27
0001-4575,2022,25,18
0001-4575,2023,68,51
0001-4788,2021,12,9
0001-4788,2022,9,4
0001-4788,2023,10,6
0001-4842,2019,11,0
0001-4842,2020,5,1
0001-4842,2021,21,13
0001-4842,2022,39,33
0001-4842,2023,45,38
0001-4966,2020,7,0
0001-4966,2021,107,0
0001-4966,2022,120,0
0001-4966,2023,334,0
0001-5172,2019,25,13
0001-5172,2020,81,42
0001-5172,2021,81,56
0001-5172,2022,122,86
0001-5172,2023,148,107
0001-5210,2021,13,5
0001-5210,2022,6,5
0001-5210,2023,15,15
0001-5342,2019,3,3
0001-5342,2020,5,3
0001-5342,2021,5,4
0001-5342,2022,4,2
0001-5342,2023,7,6
0001-5385,2020,2,1
0001-5385,2021,1,1
0001-5385,2023,2,0
0001-5458,2021,1,1
0001-5458,2022,3,1
0001-5458,2023,3,1
0001-5547,2020,3,2
0001-5547,2022,2,1
0001-5547,2023,1,1
0001-5792,2021,4,1
0001-5792,2022,4,4
0001-5792,2023,9,9
0001-5830,2022,1,0
0001-5830,2023,2,1
0001-5903,2019,7,3
0001-5903,2020,12,9
0001-5903,2021,15,11
0001-5903,2022,12,11
0001-5903,2023,2,2
0001-5954,2019,3,0
0001-5954,2020,6,0
0001-5954,2021,9,0
0001-5954,2022,7,0
0001-5954,2023,8,0
0001-5970,2019,17,14
0001-5970,2020,37,29
0001-5970,2021,40,34
0001-5970,2022,58,40
0001-5970,2023,44,31
0001-6268,2019,48,23
0001-6268,2020,169,89
0001-6268,2021,153,106
0001-6268,2022,133,98
0001-6268,2023,150,105
0001-6314,2019,15,3
0001-6314,2020,55,25
0001-6314,2021,48,30
0001-6314,2022,50,34
0001-6314,2023,17,17
0001-6322,2019,15,12
0001-6322,2020,46,42
0001-6322,2021,67,57
0001-6322,2022,55,49
0001-6322,2023,46,44
0001-6349,2019,19,4
0001-6349,2020,98,43
0001-6349,2021,93,71
0001-6349,2022,79,79
0001-6349,2023,141,141
0001-6357,2019,22,18
0001-6357,2020,33,24
0001-6357,2021,45,37
0001-6357,2022,31,25
0001-6357,2023,3,3
0001-6373,2021,8,8
0001-6373,2022,11,10
0001-6373,2023,10,9
0001-6446,2021,4,4
0001-6446,2022,4,2
0001-6446,2023,5,5
0001-6489,2019,10,3
0001-6489,2020,12,9
0001-6489,2021,14,9
0001-6489,2022,14,11
0001-6489,2023,8,7
0001-6519,2021,24,0
0001-6519,2022,11,0
0001-6519,2023,22,0
0001-6810,2020,11,7
0001-6810,2021,6,5
0001-6810,2022,10,10
0001-6810,2023,12,9
0001-690X,2019,13,4
0001-690X,2020,28,20
0001-690X,2021,43,29
0001-690X,2022,78,61
0001-690X,2023,87,64
0001-6969,2021,6,0
0001-6969,2022,9,7
0001-6969,2023,3,2
0001-6993,2020,18,10
0001-6993,2021,23,14
0001-6993,2022,23,14
0001-6993,2023,25,19
0001-706X,2020,5,2
0001-706X,2021,16,10
0001-706X,2022,33,17
0001-706X,2023,35,18
0001-7701,2019,5,4
0001-7701,2020,17,9
0001-7701,2021,16,11
0001-7701,2022,43,31
0001-7701,2023,25,22
0001-8244,2019,11,9
0001-8244,2020,12,9
0001-8244,2021,13,11
0001-8244,2022,11,10
0001-8244,2023,10,7
0001-8392,2020,3,3
0001-8392,2021,6,5
0001-8392,2022,3,2
0001-8392,2023,11,9
0001-8678,2021,1,0
0001-8678,2022,8,0
0001-8678,2023,13,2
0001-8686,2019,3,0
0001-8686,2020,18,4
0001-8686,2021,20,6
0001-8686,2022,29,18
0001-8686,2023,38,24
0001-8708,2019,7,0
0001-8708,2020,25,3
0001-8708,2021,65,22
0001-8708,2022,106,49
0001-8708,2023,103,62
0001-8791,2020,16,5
0001-8791,2021,16,15
0001-8791,2022,16,12
0001-8791,2023,11,8
0001-9054,2019,13,13
0001-9054,2020,25,23
0001-9054,2021,35,30
0001-9054,2022,28,19
0001-9054,2023,31,27
0001-9240,2019,8,2
0001-9240,2020,15,3
0001-9240,2021,27,17
0001-9240,2022,27,23
0001-9240,2023,35,30
0001-9720,2020,3,2
0001-9720,2021,5,4
0001-9720,2022,29,11
0001-9720,2023,37,12
0001-9909,2020,1,1
0001-9909,2021,6,2
0001-9909,2022,11,4
0001-9909,2023,11,4
0002-0184,2022,4,3
0002-0184,2023,4,2
0002-0206,2019,2,1
0002-0206,2020,2,1
0002-0206,2021,16,4
0002-0206,2022,27,8
0002-0206,2023,27,6
0002-0443,2022,1,0
