issn_l,n_cr,Crossref,n_wos,WoS,n_scp,Scopus,n,doi_in_wos_or_scopus,doi_in_scopus,doi_in_wos,doi_cr
0001-1541,1844,TRUE,1915,TRUE,1891,TRUE,1844,1812,1783,1806,1844
0001-2998,324,TRUE,298,TRUE,307,TRUE,324,284,284,280,324
0001-3072,144,TRUE,136,TRUE,136,TRUE,144,136,136,136,144
0001-4338,793,TRUE,835,TRUE,835,TRUE,793,792,789,790,793
0001-4370,526,TRUE,503,TRUE,539,TRUE,526,520,519,487,526
0001-4575,1774,TRUE,1838,TRUE,1759,TRUE,1774,1765,1758,1758,1774
0001-4788,192,TRUE,188,TRUE,193,TRUE,192,176,176,171,192
0001-4842,1787,TRUE,1492,TRUE,1588,TRUE,1787,1546,1528,1446,1787
0001-5172,940,TRUE,870,TRUE,870,TRUE,940,804,801,801,940
0001-5210,100,TRUE,NA,FALSE,85,TRUE,100,85,85,0,100
0001-5342,136,TRUE,124,TRUE,122,TRUE,136,123,118,120,136
0001-5385,382,TRUE,486,TRUE,611,TRUE,382,283,280,212,382
0001-5458,318,TRUE,430,TRUE,451,TRUE,318,307,306,289,318
0001-5547,393,TRUE,302,TRUE,308,TRUE,393,302,299,293,393
0001-5652,73,TRUE,58,TRUE,72,TRUE,73,61,60,58,73
0001-5792,528,TRUE,400,TRUE,396,TRUE,528,402,387,387,528
0001-5830,49,TRUE,NA,FALSE,NA,FALSE,49,0,0,0,49
0001-5903,119,TRUE,123,TRUE,121,TRUE,119,108,106,108,119
0001-5970,1458,TRUE,1502,TRUE,1489,TRUE,1458,1424,1410,1423,1458
0001-6268,2093,TRUE,1824,TRUE,1824,TRUE,2093,1795,1784,1784,2093
0001-6314,647,TRUE,NA,FALSE,NA,FALSE,647,0,0,0,647
0001-6322,686,TRUE,565,TRUE,520,TRUE,686,556,496,541,686
0001-6349,1168,TRUE,977,TRUE,956,TRUE,1168,936,905,927,1168
0001-6357,407,TRUE,437,TRUE,436,TRUE,407,400,397,400,407
0001-6373,161,TRUE,202,TRUE,188,TRUE,161,159,142,153,161
0001-6446,167,TRUE,132,TRUE,125,TRUE,167,134,125,131,167
0001-6489,865,TRUE,837,TRUE,844,TRUE,865,845,842,835,865
0001-6810,185,TRUE,212,TRUE,212,TRUE,185,162,162,162,185
0001-690X,592,TRUE,476,TRUE,466,TRUE,592,460,446,456,592
0001-6969,203,TRUE,NA,FALSE,187,TRUE,203,186,186,0,203
0001-6993,185,TRUE,147,TRUE,147,TRUE,185,121,118,117,185
0001-706X,1801,TRUE,1825,TRUE,1770,TRUE,1801,1779,1769,1777,1801
0001-7701,689,TRUE,661,TRUE,653,TRUE,689,660,642,648,689
0001-7868,625,TRUE,243,TRUE,342,TRUE,625,322,321,221,625
0001-8244,227,TRUE,190,TRUE,187,TRUE,227,175,170,173,227
0001-8392,224,TRUE,144,TRUE,143,TRUE,224,116,115,116,224
0001-8678,270,TRUE,NA,FALSE,NA,FALSE,270,0,0,0,270
0001-8686,733,TRUE,740,TRUE,724,TRUE,733,728,724,728,733
0001-8708,2114,TRUE,2155,TRUE,2082,TRUE,2114,2111,2082,2109,2114
