earliest_year,pub_type,n_articles,n_oa_articles,p
2023,core,1708860,326466,0.19104315157473403
2023,all,1881806,341561,0.18150702038361022
2022,core,1549643,215073,0.1387887403743959
2022,all,1704628,225977,0.13256675356734723
2021,core,1499193,178140,0.1188239272728728
2021,all,1662564,189672,0.11408402924639292
2020,core,1411049,130120,0.09221508253788493
2020,all,1584885,141930,0.08955223880597014
2019,core,1331727,86025,0.06459657272098561
2019,all,1487060,91131,0.06128266512447379
2018,core,1287649,71321,0.05538854144258257
2018,all,1439781,75506,0.05244269788252519
