issn_l,earliest_year,pub_type,n,oa_articles
0001-0782,2019,core,141,0
0001-0782,2019,all,258,0
0001-0782,2020,core,155,1
0001-0782,2020,all,296,2
0001-0782,2021,core,182,0
0001-0782,2021,all,344,1
0001-0782,2022,core,184,4
0001-0782,2022,all,319,4
0001-0782,2023,core,169,11
0001-0782,2023,all,271,11
0001-1541,2019,core,326,12
0001-1541,2019,all,337,12
0001-1541,2020,core,365,36
0001-1541,2020,all,372,36
0001-1541,2021,core,345,33
0001-1541,2021,all,357,33
0001-1541,2022,core,415,41
0001-1541,2022,all,426,41
0001-1541,2023,core,440,64
0001-1541,2023,all,447,64
0001-2092,2019,core,134,0
0001-2092,2019,all,233,0
0001-2092,2020,core,167,0
0001-2092,2020,all,279,1
0001-2092,2021,core,102,0
0001-2092,2021,all,208,2
0001-2092,2022,core,94,0
0001-2092,2022,all,185,0
0001-2092,2023,core,80,0
0001-2092,2023,all,135,0
0001-2998,2019,core,51,3
0001-2998,2019,all,60,3
0001-2998,2020,core,48,3
0001-2998,2020,all,55,3
0001-2998,2021,core,52,5
0001-2998,2021,all,60,5
0001-2998,2022,core,70,15
0001-2998,2022,all,76,15
0001-2998,2023,core,86,18
0001-2998,2023,all,92,18
0001-3072,2019,core,25,3
0001-3072,2019,all,27,3
0001-3072,2020,core,20,2
0001-3072,2020,all,22,2
0001-3072,2021,core,24,4
0001-3072,2021,all,24,4
0001-3072,2022,core,24,3
0001-3072,2022,all,24,3
0001-3072,2023,core,43,11
0001-3072,2023,all,44,11
0001-4338,2019,core,176,0
0001-4338,2019,all,176,0
0001-4338,2020,core,157,0
0001-4338,2020,all,157,0
0001-4338,2021,core,165,2
0001-4338,2021,all,165,2
0001-4338,2022,core,163,0
0001-4338,2022,all,165,0
0001-4338,2023,core,174,0
0001-4338,2023,all,176,0
0001-4346,2019,core,210,0
0001-4346,2019,all,210,0
0001-4346,2020,core,218,0
0001-4346,2020,all,219,0
0001-4346,2021,core,187,0
0001-4346,2021,all,188,0
0001-4346,2022,core,215,0
0001-4346,2022,all,219,0
0001-4346,2023,core,240,0
0001-4346,2023,all,240,0
0001-4370,2019,core,122,0
0001-4370,2019,all,122,0
0001-4370,2020,core,95,0
0001-4370,2020,all,95,0
0001-4370,2021,core,110,5
0001-4370,2021,all,110,5
0001-4370,2022,core,102,2
0001-4370,2022,all,104,3
0001-4370,2023,core,110,7
0001-4370,2023,all,114,7
0001-4575,2019,core,365,19
0001-4575,2019,all,369,19
0001-4575,2020,core,383,27
0001-4575,2020,all,384,27
0001-4575,2021,core,463,48
0001-4575,2021,all,469,48
0001-4575,2022,core,243,24
0001-4575,2022,all,246,24
0001-4575,2023,core,305,65
0001-4575,2023,all,308,65
0001-4788,2019,core,34,5
0001-4788,2019,all,35,5
0001-4788,2020,core,31,13
0001-4788,2020,all,34,13
0001-4788,2021,core,31,11
0001-4788,2021,all,33,11
0001-4788,2022,core,50,15
0001-4788,2022,all,51,15
0001-4788,2023,core,47,12
0001-4788,2023,all,48,12
0001-4842,2019,core,324,19
0001-4842,2019,all,332,19
0001-4842,2020,core,245,17
0001-4842,2020,all,258,18
0001-4842,2021,core,380,23
0001-4842,2021,all,390,23
0001-4842,2022,core,301,27
0001-4842,2022,all,307,27
0001-4842,2023,core,338,75
0001-4842,2023,all,350,75
0001-4966,2019,core,860,70
0001-4966,2019,all,878,70
0001-4966,2020,core,805,76
0001-4966,2020,all,824,77
0001-4966,2021,core,755,106
0001-4966,2021,all,774,107
0001-4966,2022,core,669,111
0001-4966,2022,all,689,112
0001-4966,2023,core,615,103
0001-4966,2023,all,635,103
0001-5172,2019,core,181,12
0001-5172,2019,all,213,12
0001-5172,2020,core,179,44
0001-5172,2020,all,207,46
0001-5172,2021,core,177,47
0001-5172,2021,all,211,48
0001-5172,2022,core,139,47
0001-5172,2022,all,159,47
0001-5172,2023,core,194,138
0001-5172,2023,all,212,139
0001-5210,2019,core,15,6
0001-5210,2019,all,15,6
0001-5210,2020,core,20,11
0001-5210,2020,all,20,11
0001-5210,2021,core,17,7
0001-5210,2021,all,17,7
0001-5210,2022,core,12,5
0001-5210,2022,all,12,5
0001-5210,2023,core,21,13
0001-5210,2023,all,21,13
0001-5342,2019,core,13,1
0001-5342,2019,all,15,1
0001-5342,2020,core,22,2
0001-5342,2020,all,25,3
0001-5342,2021,core,38,7
0001-5342,2021,all,39,7
0001-5342,2022,core,27,4
0001-5342,2022,all,27,4
0001-5342,2023,core,22,6
0001-5342,2023,all,23,6
0001-5385,2019,core,54,1
0001-5385,2019,all,87,1
0001-5385,2020,core,94,1
0001-5385,2020,all,141,1
0001-5385,2021,core,150,3
0001-5385,2021,all,187,3
0001-5385,2022,core,135,5
0001-5385,2022,all,155,5
0001-5385,2023,core,178,7
0001-5385,2023,all,254,8
0001-5458,2019,core,73,2
0001-5458,2019,all,75,2
0001-5458,2020,core,81,1
0001-5458,2020,all,84,1
0001-5458,2021,core,74,0
0001-5458,2021,all,74,0
0001-5458,2022,core,94,3
0001-5458,2022,all,94,3
0001-5458,2023,core,129,8
0001-5458,2023,all,129,8
0001-5547,2019,core,56,1
0001-5547,2019,all,62,1
0001-5547,2020,core,68,4
0001-5547,2020,all,77,5
0001-5547,2021,core,65,10
0001-5547,2021,all,69,11
0001-5547,2022,core,57,8
0001-5547,2022,all,61,8
0001-5547,2023,core,62,6
0001-5547,2023,all,74,7
0001-5652,2019,core,22,0
0001-5652,2019,all,23,0
0001-5652,2020,core,14,0
0001-5652,2020,all,15,0
0001-5652,2021,core,17,3
0001-5652,2021,all,17,3
0001-5652,2022,core,10,9
0001-5652,2022,all,10,9
0001-5652,2023,core,9,9
0001-5652,2023,all,9,9
0001-5792,2019,core,66,2
0001-5792,2019,all,89,2
0001-5792,2020,core,71,2
0001-5792,2020,all,91,2
0001-5792,2021,core,89,16
0001-5792,2021,all,107,19
0001-5792,2022,core,77,20
0001-5792,2022,all,80,20
0001-5792,2023,core,93,28
0001-5792,2023,all,98,28
0001-5903,2019,core,22,2
0001-5903,2019,all,22,2
0001-5903,2020,core,27,13
0001-5903,2020,all,31,13
0001-5903,2021,core,27,9
0001-5903,2021,all,30,11
0001-5903,2022,core,24,14
0001-5903,2022,all,27,15
0001-5903,2023,core,21,7
0001-5903,2023,all,22,8
0001-5954,2019,core,101,0
0001-5954,2019,all,101,0
0001-5954,2020,core,106,0
