earliest_year,pubtype,ta_articles,ta_oa_articles,ta_first_author_articles,ta_oa_first_author_articles,ta_corresponding_author_articles,ta_oa_corresponding_author_articles,ta_first_corresponding_author_articles,ta_oa_first_corresponding_author_articles
2023,all,398376,227078,365437,213347,369001,218235,220547,134973
2023,core,367139,219828,336256,206557,341427,211356,200651,130068
2022,all,286715,134878,262883,126554,264668,129553,158944,81632
2022,core,262438,130222,240131,122172,243709,125170,143876,78587
2021,all,218947,98974,201657,93203,201855,94896,122675,60551
2021,core,200110,94824,184033,89283,185297,90982,110533,57736
2020,all,125786,52129,116732,49210,115356,49730,71164,31072
2020,core,114461,49752,106126,46974,105386,47535,63800,29462
2019,all,43623,16670,40860,15721,39214,15778,23333,10164
2019,core,40705,16260,38107,15329,36728,15432,21448,9909
