issn_l,earliest_year,pubtype,ta_articles,ta_oa_articles,ta_first_author_articles,ta_oa_first_author_articles,ta_corresponding_author_articles,ta_oa_corresponding_author_articles,ta_first_corresponding_author_articles,ta_oa_first_corresponding_author_articles
0001-0782,2023,core,24,1,24,1,7,0,7,0
0001-0782,2023,all,36,1,36,1,15,0,15,0
0001-1541,2023,core,118,53,104,50,110,52,20,15
0001-1541,2023,all,120,53,105,50,111,52,20,15
0001-2092,2023,core,3,0,3,0,3,0,2,0
0001-2092,2023,all,4,0,4,0,4,0,3,0
0001-2998,2023,core,50,18,45,16,49,18,30,10
0001-2998,2023,all,50,18,45,16,49,18,30,10
0001-3072,2023,core,19,9,13,6,13,9,5,4
0001-3072,2023,all,19,9,13,6,13,9,5,4
0001-4346,2023,core,1,0,1,0,1,0,1,0
0001-4346,2023,all,1,0,1,0,1,0,1,0
0001-4575,2023,core,79,51,76,50,72,49,51,36
0001-4575,2023,all,80,51,77,50,73,49,52,36
0001-4788,2023,core,15,8,9,4,14,8,6,3
0001-4788,2023,all,15,8,9,4,14,8,6,3
0001-4842,2023,core,65,50,52,41,65,50,14,11
0001-4842,2023,all,66,50,53,41,66,50,15,11
0001-4966,2023,core,80,37,78,36,52,24,42,18
0001-4966,2023,all,81,37,79,36,52,24,42,18
0001-5172,2023,core,169,130,166,127,168,129,139,108
0001-5172,2023,all,182,130,177,127,181,129,149,108
0001-5210,2023,core,12,12,12,12,12,12,11,11
0001-5210,2023,all,12,12,12,12,12,12,11,11
0001-5342,2023,core,6,6,6,6,6,6,6,6
0001-5342,2023,all,7,6,7,6,7,6,7,6
0001-5385,2023,core,9,0,6,0,9,0,5,0
0001-5385,2023,all,15,0,12,0,14,0,8,0
0001-5458,2023,core,15,6,15,6,15,6,11,5
0001-5458,2023,all,15,6,15,6,15,6,11,5
0001-5547,2023,core,2,2,1,1,2,2,1,1
0001-5547,2023,all,2,2,1,1,2,2,1,1
0001-5792,2023,core,8,8,8,8,7,7,7,7
0001-5792,2023,all,8,8,8,8,7,7,7,7
0001-5903,2023,core,7,4,7,4,4,4,3,3
0001-5903,2023,all,8,5,8,5,5,5,4,4
0001-5954,2023,core,13,0,12,0,11,0,8,0
0001-5954,2023,all,13,0,12,0,11,0,8,0
0001-5970,2023,core,70,47,66,44,68,47,44,33
0001-5970,2023,all,73,47,69,44,71,47,46,33
0001-6268,2023,core,189,133,181,130,182,130,115,81
0001-6268,2023,all,214,141,205,137,207,138,135,88
0001-6314,2023,core,17,0,17,0,17,0,10,0
0001-6314,2023,all,17,0,17,0,17,0,10,0
0001-6322,2023,core,51,48,46,43,51,48,14,12
0001-6322,2023,all,73,67,65,59,72,67,22,19
0001-6349,2023,core,125,119,124,118,123,117,82,76
0001-6349,2023,all,140,132,137,129,138,130,93,85
0001-6357,2023,core,14,11,13,11,14,11,8,7
0001-6357,2023,all,15,12,14,12,15,12,9,8
0001-6373,2023,core,16,15,16,15,16,15,14,13
0001-6373,2023,all,17,16,17,16,17,16,14,13
0001-6446,2023,core,2,2,2,2,2,2,2,2
0001-6446,2023,all,2,2,2,2,2,2,2,2
0001-6489,2023,core,17,9,11,6,17,9,8,5
0001-6489,2023,all,17,9,11,6,17,9,8,5
0001-6519,2023,core,35,0,35,0,34,0,23,0
0001-6519,2023,all,35,0,35,0,34,0,23,0
0001-6810,2023,core,30,21,28,20,30,21,24,17
0001-6810,2023,all,32,21,29,20,32,21,25,17
0001-690X,2023,core,77,70,75,68,76,69,46,41
0001-690X,2023,all,92,70,90,68,91,69,58,41
0001-6969,2023,core,2,2,2,2,2,2,2,2
0001-6969,2023,all,2,2,2,2,2,2,2,2
0001-6993,2023,core,37,28,37,28,37,28,36,28
0001-6993,2023,all,38,28,38,28,38,28,37,28
0001-706X,2023,core,56,24,46,18,53,24,16,9
0001-706X,2023,all,62,24,50,18,59,24,19,9
0001-7701,2023,core,36,26,35,25,34,25,22,14
0001-7701,2023,all,36,26,35,25,34,25,22,14
0001-8244,2023,core,16,12,15,11,15,12,13,11
0001-8244,2023,all,16,12,15,11,15,12,13,11
0001-8392,2023,core,12,9,12,9,10,9,10,9
0001-8392,2023,all,12,9,12,9,10,9,10,9
0001-8678,2023,core,20,0,19,0,12,0,11,0
0001-8678,2023,all,20,0,19,0,12,0,11,0
0001-8686,2023,core,46,25,39,23,43,23,17,9
0001-8686,2023,all,46,25,39,23,43,23,17,9
0001-8708,2023,core,139,73,119,65,100,54,48,26
0001-8708,2023,all,140,73,120,65,100,54,48,26
0001-8791,2023,core,16,11,16,11,14,9,12,8
0001-8791,2023,all,16,11,16,11,14,9,12,8
0001-9054,2023,core,42,33,38,30,40,32,33,26
0001-9054,2023,all,43,34,38,30,41,33,33,26
0001-9240,2023,core,35,28,34,27,34,28,22,19
0001-9240,2023,all,35,28,34,27,34,28,22,19
0001-9720,2023,core,15,10,15,10,11,8,11,8
0001-9720,2023,all,17,11,17,11,12,8,12,8
0001-9909,2023,core,13,9,13,9,7,5,6,5
0001-9909,2023,all,14,9,14,9,8,5,7,5
0002-0184,2023,core,4,3,3,2,4,3,3,2
0002-0184,2023,all,4,3,3,2,4,3,3,2
0002-0206,2023,core,19,15,19,15,15,11,15,11
0002-0206,2023,all,20,15,20,15,15,11,15,11
0002-0729,2023,core,135,105,130,100,130,102,85,71
0002-0729,2023,all,148,107,142,102,142,103,94,71
0002-1466,2023,core,5,3,4,3,4,2,3,2
0002-1466,2023,all,5,3,4,3,4,2,3,2
0002-1873,2023,core,4,4,4,4,3,3,3,3
0002-1873,2023,all,4,4,4,4,3,3,3,3
0002-1962,2023,core,62,48,58,45,62,48,34,26
0002-1962,2023,all,63,49,59,46,63,49,35,27
0002-5232,2023,core,1,0,1,0,1,0,1,0
0002-5232,2023,all,1,0,1,0,1,0,1,0
0002-5240,2023,core,15,9,12,7,14,8,6,4
