earliest_year,pub_type,n_articles,n_oa_articles,p
2023,core,1312766,258038,0.19656054468199208
2023,all,1690767,273181,0.16157223319357428
2022,core,1366245,234117,0.171357992160996
2022,all,1736039,253557,0.1460548985362656
2021,core,1470581,223014,0.15165026611930932
2021,all,1839456,243135,0.13217766557069047
2020,core,1388593,177087,0.1275298089504988
2020,all,1781448,194104,0.10895855506307228
2019,core,1314879,138441,0.10528801509492508
2019,all,1745710,160918,0.09217911336934542
2018,core,1179984,113951,0.0965699534908948
2018,all,1582218,136818,0.08647228131648105
