issn_l,earliest_year,pubtype,ta_articles,ta_oa_articles,ta_first_author_articles,ta_oa_first_author_articles,ta_corresponding_author_articles,ta_oa_corresponding_author_articles,ta_first_corresponding_author_articles,ta_oa_first_corresponding_author_articles
0001-0782,2023,all,42,1,42,1,41,1,40,1
0001-0782,2023,core,18,1,18,1,17,1,16,1
0001-1541,2023,all,64,59,60,33,60,35,12,9
0001-1541,2023,core,63,59,59,33,60,35,12,9
0001-2092,2023,all,14,0,14,0,11,0,10,0
0001-2092,2023,core,10,0,10,0,7,0,6,0
0001-2998,2023,all,42,18,40,12,41,12,21,6
0001-2998,2023,core,42,18,40,12,41,12,21,6
0001-3072,2023,all,15,8,14,7,14,7,11,6
0001-3072,2023,core,15,8,14,7,14,7,11,6
0001-4575,2023,all,80,71,79,56,77,57,59,42
0001-4575,2023,core,80,71,79,56,77,57,59,42
0001-4788,2023,all,9,8,9,6,9,6,5,4
0001-4788,2023,core,9,8,9,6,9,6,5,4
0001-4842,2023,all,70,85,63,43,79,53,19,11
0001-4842,2023,core,62,76,55,38,69,47,15,9
0001-4966,2023,all,121,45,121,39,86,37,72,31
0001-4966,2023,core,90,44,90,38,84,37,70,31
0001-5172,2023,all,219,112,216,98,134,100,114,86
0001-5172,2023,core,124,111,121,97,123,99,105,85
0001-5342,2023,all,7,5,7,5,7,5,7,5
0001-5342,2023,core,5,5,5,5,5,5,5,5
0001-5385,2023,all,8,0,8,0,7,0,5,0
0001-5385,2023,core,2,0,2,0,2,0,1,0
0001-5458,2023,all,3,1,3,1,3,1,3,1
0001-5458,2023,core,3,1,3,1,3,1,3,1
0001-5547,2023,all,2,1,2,1,1,1,1,1
0001-5547,2023,core,1,1,1,1,1,1,1,1
0001-5652,2023,all,21,0,21,0,0,0,0,0
0001-5792,2023,all,9,10,9,9,9,9,8,8
0001-5792,2023,core,7,7,7,7,7,7,7,7
0001-5903,2023,all,3,2,3,2,2,2,2,2
0001-5903,2023,core,2,1,2,1,1,1,1,1
0001-5954,2023,all,12,0,12,0,10,0,7,0
0001-5954,2023,core,12,0,12,0,10,0,7,0
0001-5970,2023,all,48,41,46,32,47,33,34,24
0001-5970,2023,core,46,41,44,32,45,33,32,24
0001-6268,2023,all,166,156,161,110,164,113,100,67
0001-6268,2023,core,151,152,147,107,149,109,89,64
0001-6314,2023,all,18,0,18,0,18,0,10,0
0001-6314,2023,core,17,0,17,0,17,0,10,0
0001-6322,2023,all,60,101,56,53,64,62,15,14
0001-6322,2023,core,51,85,47,45,54,52,13,12
0001-6349,2023,all,280,183,280,134,138,131,88,82
0001-6349,2023,core,124,162,124,118,121,115,76,71
0001-6357,2023,all,7,8,7,5,6,5,3,2
0001-6357,2023,core,5,7,5,4,4,4,1,1
0001-6373,2023,all,17,20,17,17,17,17,14,14
0001-6373,2023,core,17,20,17,17,17,17,14,14
0001-6446,2023,all,4,4,4,4,4,4,4,4
0001-6446,2023,core,3,3,3,3,3,3,3,3
0001-6489,2023,all,16,13,13,8,16,10,9,5
0001-6489,2023,core,16,13,13,8,16,10,9,5
0001-6810,2023,all,12,11,12,9,12,9,9,7
0001-6810,2023,core,11,11,11,9,11,9,8,7
0001-690X,2023,all,90,95,90,64,94,68,55,37
0001-690X,2023,core,72,91,72,61,76,65,42,35
0001-6993,2023,all,23,17,23,17,23,17,23,17
0001-6993,2023,core,17,16,17,16,17,16,17,16
0001-706X,2023,all,41,29,37,17,41,19,14,7
0001-706X,2023,core,37,29,35,17,37,19,12,7
0001-7701,2023,all,31,30,30,21,29,20,18,11
0001-7701,2023,core,30,29,29,20,28,19,17,10
0001-8244,2023,all,12,8,11,7,12,8,11,7
0001-8244,2023,core,11,8,10,7,11,8,10,7
0001-8392,2023,all,20,8,20,8,19,8,19,8
0001-8392,2023,core,11,8,11,8,10,8,10,8
0001-8678,2023,all,14,0,14,0,15,0,14,0
0001-8678,2023,core,13,0,13,0,13,0,13,0
0001-8686,2023,all,51,45,46,26,54,30,20,11
0001-8686,2023,core,50,45,45,26,53,30,19,11
0001-8708,2023,all,137,105,134,73,123,75,73,43
0001-8708,2023,core,136,105,133,73,122,75,72,43
0001-8791,2023,all,15,12,15,11,15,10,13,9
0001-8791,2023,core,15,12,15,11,15,10,13,9
0001-9054,2023,all,29,24,29,24,29,24,29,24
0001-9054,2023,core,29,24,29,24,29,24,29,24
0001-9240,2023,all,38,32,37,27,36,27,29,22
0001-9240,2023,core,36,31,36,27,34,26,28,22
0001-9720,2023,all,43,7,43,7,43,7,43,7
0001-9720,2023,core,15,7,15,7,15,7,15,7
0001-9909,2023,all,18,10,18,10,17,10,17,10
0001-9909,2023,core,13,10,13,10,12,10,12,10
0002-0184,2023,all,5,4,5,3,5,3,4,2
0002-0184,2023,core,5,4,5,3,5,3,4,2
0002-0206,2023,all,56,9,56,9,56,9,55,9
0002-0206,2023,core,11,9,11,9,11,9,11,9
