earliest_year,pubtype,ta_articles,ta_oa_articles,ta_first_author_articles,ta_oa_first_author_articles,ta_corresponding_author_articles,ta_oa_corresponding_author_articles,ta_first_corresponding_author_articles,ta_oa_first_corresponding_author_articles
2023,all,343183,252296,328807,174261,302682,184531,177937,106496
2023,core,267272,242560,253923,166966,267324,176915,150846,101321
2022,all,285204,182189,273576,128264,249258,134659,150796,80734
2022,core,221064,175116,210250,122753,219838,129447,127648,77084
2021,all,232941,143168,224126,102541,207975,106726,129547,66099
2021,core,184281,137160,176027,97825,182237,102300,108834,62965
2020,all,136238,82698,131717,59070,123141,61476,77905,37848
2020,core,110511,79540,106339,56613,109043,58981,66918,36054
2019,all,46990,25978,45424,18607,40307,19227,24650,11856
2019,core,37802,25298,36325,18073,37313,18775,22276,11550
2018,all,5714,3987,5513,2816,5160,2935,3457,1764
2018,core,4842,3874,4652,2731,4759,2847,3149,1704
